APP URL,APP BUNDLE ID,APP NAME,PUBLISHER
,com.apple.AppStore,App Store,Apple
,com.apple.calculator,Calculator,Apple
,com.apple.mobilecal,Calendar,Apple
,com.apple.camera,Camera,Apple
,com.apple.clips,Clips,Apple
,com.apple.mobiletimer,Clock,Apple
,com.apple.MobileAddressBook,Contacts,Apple
,com.apple.facetime,FaceTime,Apple
,com.apple.findmy,Find My,Apple
,com.apple.DocumentsApp,Files,Apple
,com.apple.Fitness,Fitness,Apple
,com.apple.gamecenter,Game Center,Apple
,com.apple.mobilegarageband,GarageBand,Apple
,com.apple.Health,Health,Apple
,com.apple.Home,Home,Apple
,com.apple.iBooks,Books,Apple
,com.apple.iMovie,iMovie,Apple
,com.apple.MobileStore,iTunes Store,Apple
,com.apple.Keynote,Keynote,Apple
,com.apple.mobilemail,Mail,Apple
,com.apple.Maps,Maps,Apple
,com.apple.measure,Measure,Apple
,com.apple.MobileSMS,Messages,Apple
,com.apple.Music,Music,Apple
,com.apple.news,News,Apple
,com.apple.mobilenotes,Notes,Apple
,com.apple.Numbers,Numbers,Apple
,com.apple.Pages,Pages,Apple
,com.apple.mobilephone,Phone,Apple
,com.apple.Photo-Booth,Photo Booth,Apple
,com.apple.mobileslideshow,Photos,Apple
,com.apple.podcasts,Podcasts,Apple
,com.apple.reminders,Reminders,Apple
,com.apple.mobilesafari,Safari,Apple
,com.apple.SiriViewServices,Siri,Apple
,com.apple.shortcuts,Shortcuts,Apple
,com.apple.stocks,Stocks,Apple
,com.apple.tips,Tips,Apple
,com.apple.Translate,Translate,Apple
,com.apple.tv,TV,Apple
,com.apple.VoiceMemos,Voice Memos,Apple
,com.apple.Passbook,Wallet,Apple
,com.apple.Bridge,Watch,Apple
,com.apple.weather,Weather,Apple
